eval_date,sector,alpha_k6,alpha_k12,alpha_k18,alpha_k24,alpha_k36,sms_score,n_expected,n_silent
2007-08-31,IBB,0.05234848731177244,0.209800886556321,0.43400503084474373,0.3053097746050619,0.2695469009991891,0.0,4,0
2007-09-30,IBB,0.04398111298030616,0.24017746554760577,0.3942405752644883,0.29794880530879353,0.26711626323703763,0.0,5,0
2007-11-30,IBB,-0.012202162000698236,0.2262618133398595,0.21156912600752986,0.1846420192796039,0.20700916858417528,0.0,4,0
2008-03-31,IBB,0.19619635256729961,0.35025946228418214,0.25396769232848737,0.25883085255770566,0.21947482337978752,0.0,5,0
2009-06-30,IBB,-0.07907571263430002,-0.06366100154327747,-0.07907388518941261,-0.001580647608006247,0.14340828876886091,0.0,4,0
2009-08-31,IBB,0.005317271148215563,-0.035762873605872825,-0.08778126127437746,0.009909059284007316,0.19288708911560914,0.19999999996,5,1
2009-12-31,IBB,0.015414711091022548,1.8274448874144866e-06,0.07749506502629377,0.09103759158770686,0.229944344299159,0.3333333332222222,3,1
2010-02-28,IBB,-0.04108014475408839,-0.09309853242259303,0.004591788135791752,0.08965985349881667,0.19228626037331054,0.2499999999375,4,1
2010-03-31,IBB,-0.035695702300974186,-0.03935602917791814,0.04073243417976413,0.08926872894760263,0.2327114993164333,0.0,3,0
2010-08-31,IBB,-0.05201838766850464,0.04567193288988014,0.13073999825290505,0.22864996272148197,0.43143227014661,0.0,3,0
2010-11-30,IBB,0.08806997201435329,0.08168610234795004,0.2105221823485649,0.25040574586394837,0.486602397070368,0.0,6,0
2011-01-31,IBB,0.09223275337447812,0.17528949303754948,0.26201996336665767,0.25846780320361284,0.6100441176070068,0.0,3,0
2011-02-28,IBB,0.09769032055838478,0.1827583859214097,0.2806683503899866,0.28538479279590356,0.6642948648466804,0.3333333332222222,3,1
2011-03-31,IBB,0.08008846335768227,0.12862475812552077,0.24421141336651986,0.27206752849435145,0.4923763439388027,0.0,4,0
2011-10-31,IBB,0.1306458621486698,0.16668656924752678,0.3082521853574466,0.3873274596281867,0.6247513991204866,0.0,6,0
2011-12-31,IBB,0.13144640981545408,0.13890675271145214,0.252161692849487,0.38050975381462016,0.5665880206053494,0.0,5,0
2013-09-30,IBB,0.015790585179996874,0.10974524641697858,0.28423728619978483,0.24028506017135065,0.08750704160854239,0.0,3,0
2006-07-31,IGV,-0.0187767318162862,-0.029801287637809003,-0.04929598913581921,-0.0320618367321967,0.0863351424489699,0.9999999996666666,3,3
2007-06-30,IGV,-0.0196976473897582,-0.0095533727323913,0.0273998681767963,0.1019034467148355,0.19267315566625115,0.19999999996,5,1
2007-12-31,IGV,0.0101442746573669,0.047097515566554504,0.12160109410459369,0.1807911661858675,0.24356427847264892,0.3333333332222222,3,1
2008-03-31,IGV,0.0284984421257011,0.0765446271625277,0.1538513339206889,0.19737917799313598,0.26570478629378785,0.0,3,0
2008-04-30,IGV,0.0303694685759517,0.0896715935913858,0.16098395793592601,0.19978891654955327,0.26473944125204546,0.0,8,0
2008-05-31,IGV,0.034906065254441704,0.1032899597447191,0.16748648625580642,0.20307336062580258,0.26456602263343104,0.2499999999375,4,1
2010-06-30,IGV,0.0311934754166395,0.06302126067742089,0.07122812269582585,0.09798800648058875,0.21390879231523463,0.0,3,0
2010-07-31,IGV,0.0371864064776741,0.0630928172888634,0.07044774592158976,0.10194104817158467,0.21482472083268722,0.19999999996,5,1
2010-09-30,IGV,0.04221389055862929,0.0537360107742668,0.07359864882395606,0.11392766456098395,0.21477237871271704,0.0,3,0
2010-11-30,IGV,0.0338026507438217,0.04419417148094126,0.07139051808408196,0.11927658330161177,0.19664857575036454,0.59999999988,5,3
2011-01-31,IGV,0.025906410811189298,0.03326133944391566,0.06475464169391056,0.12284313363657086,0.17543872027558763,0.0,3,0
