eval_date,sector,alpha_k6,alpha_k12,alpha_k18,alpha_k24,alpha_k36
2017-09-30,IBB,-0.09398102133730524,-0.06465663832234736,-0.11453907536131769,-0.2849946409873646,-0.11617550747003413
2017-10-31,IBB,-0.04563332327872405,-0.05959587299555513,-0.12054423456980512,-0.14580296386653802,-0.043574577717478524
2017-11-30,IBB,0.0019044423474323668,-0.004274964491882582,-0.0917511278690466,-0.04178119480754272,-0.016877366192256993
2017-12-31,IBB,0.005853265486595038,-0.034492403511026226,-0.07237080436090992,-0.0660433861131654,-0.012049679263241186
2018-01-31,IBB,0.018429285156227326,0.00868352847599263,-0.13116642683889235,-0.1331665931944256,0.04682066731024204
2018-02-28,IBB,0.05167444554445144,0.020306995199167455,-0.1240263772309338,-0.037152131720087245,0.012154135372717034
2018-03-31,IBB,0.029324383014957878,-0.02055805402401245,-0.19101361965005936,0.020026908937031074,-0.08931550310257563
2018-04-30,IBB,-0.013962549716831085,-0.07491091129108107,-0.10016964058781397,0.07609523656399741,-0.07951874091271327
2018-05-31,IBB,-0.006179406839314949,-0.09365557021647897,-0.04368563715497509,0.09306191796649432,-0.12548093194111343
2018-06-30,IBB,-0.040345668997621265,-0.07822406984750496,-0.07189665159976044,0.08288213660688715,-0.078952419381352
2018-07-31,IBB,-0.009745756680234696,-0.14959571199511967,-0.1515958783506529,-0.017203314424517946,-0.11409203661624034
2018-08-31,IBB,-0.03136745034528399,-0.17570082277538523,-0.08882657726453869,-0.09485710598551245,-0.12165437539470614
2018-09-30,IBB,-0.04988243703897033,-0.22033800266501724,-0.009297474077926804,-0.051518869147686774,-0.13007369924235423
2018-10-31,IBB,-0.06094836157424999,-0.08620709087098288,0.0900577862808285,0.016021295278076608,-0.13439651799807573
2018-11-30,IBB,-0.08747616337716402,-0.03750623031566014,0.09924132480580927,-0.01260240170037441,-0.18985476900462872
2018-12-31,IBB,-0.0378784008498837,-0.03155098260213918,0.12322780560450841,0.02244272424778504,-0.2200256943005533
2019-01-31,IBB,-0.13984995531488498,-0.14185012167041822,-0.00745755774428325,0.03813713883424941,-0.35753181197736117
2019-02-28,IBB,-0.14433337243010125,-0.0574591269192547,-0.06348965564022846,-0.00815285982645042,-0.3673145525667688
2019-03-31,IBB,-0.1704555656260469,0.040584962961043525,-0.0016364321087164457,-0.06875744907856318,-0.3461653216549635
2019-04-30,IBB,-0.025258729296732896,0.1510061478550785,0.0769696568523266,-0.004607829621632198,-0.2726692523332567
2019-05-31,IBB,0.04996993306150388,0.1867174881829733,0.07487376167678961,-0.03182536172463446,-0.2780110831249262
2019-06-30,IBB,0.006327418247744521,0.1611062064543921,0.06032112509766874,-0.0007283495338470392,-0.21018501685355773
2019-07-31,IBB,-0.0020001663555332394,0.13239239757060173,0.17798709414913438,0.03550367537887933,-0.2010443137262372
2019-08-31,IBB,0.08687424551084655,0.08084371678987279,0.13618051260365083,0.0540464473806791,-0.17226397483037437
2019-09-30,IBB,0.21104052858709044,0.16881913351733047,0.10169811654748373,0.090264303422663,-0.0650588966106086
2019-10-31,IBB,0.17626487715181138,0.10222838614905949,0.020650899675100698,-0.04818942712709284,-0.10252402704595343
