investor,deg_in,deg_out,betweenness,eigenvector,out_deg_wt,tps,portfolio_size,rank_deg_out,rank_betweenness,rank_eigenvector,rank_tps,rank_divergence
Fletcher Spaght Ventures,0.0027272727272727275,0.0,0.0,0.00044655984264920786,0.0,0.0,0.0,934,644,494,936,2
Liberty Global Ventures,0.0009090909090909091,0.0,0.0,0.0072523300840861135,0.0,0.0,0.0,934,644,296,936,2
Updata Partners,0.0009090909090909091,0.0027272727272727275,0.0,0.00016420349095807416,2.301,0.0,0.0,429,644,532,936,507
ORIX Venture Finance,0.0018181818181818182,0.0,0.0,0.00017824790435893082,0.0,0.0,0.0,934,644,528,936,2
Women Angels,0.0036363636363636364,0.0,0.0,9.44105987438465e-12,0.0,0.0,0.0,934,644,575,936,2
DaneVest Capital,0.0036363636363636364,0.0,0.0,9.44105987438465e-12,0.0,0.0,0.0,934,644,575,936,2
Crawley Ventures,0.0009090909090909091,0.0,0.0,0.0017249344671415427,0.0,0.0,0.0,934,644,432,936,2
Northstar Ventures,0.0018181818181818182,0.0,0.0,4.746814624530955e-18,0.0,0.0,0.0,934,644,670,936,2
Beringea Private Equity,0.0009090909090909091,0.0018181818181818182,0.0,7.392556625983974e-19,1.1622,0.0,0.0,575,644,738,936,361
Rogers Venture Partners,0.0018181818181818182,0.0,0.0,0.0003570569601795397,0.0,0.0,0.0,934,644,504,936,2
Jerome Lecat,0.0018181818181818182,0.0,0.0,1.2505400039708499e-15,0.0,0.0,0.0,934,644,611,936,2
Bain Capital,0.0018181818181818182,0.0,0.0,0.006328560369931306,0.0,0.0,0.0,934,644,306,936,2
Dragoneer Investment Group,0.0018181818181818182,0.0,0.0,0.024878232218509003,0.0,0.0,0.0,934,644,131,936,2
TD Fund,0.0018181818181818182,0.0,0.0,0.0008167180292746753,0.0,0.0,0.0,934,644,480,936,2
Black River Asset Management,0.0018181818181818182,0.0,0.0,0.0002636662126848395,0.0,0.0,0.0,934,644,515,936,2
Millry Corporation,0.0009090909090909091,0.0,0.0,9.878589080757797e-19,0.0,0.0,0.0,934,644,715,936,2
Management & Angels,0.0,0.0009090909090909091,0.0,6.450860072587633e-20,0.7952,0.0,0.0,710,644,931,936,226
Larry Blackwell,0.0009090909090909091,0.0,0.0,4.749768271446275e-19,0.0,0.0,0.0,934,644,758,936,2
Generation Investment Management,0.0009090909090909091,0.0,0.0,0.00454050037711272,0.0,0.0,0.0,934,644,344,936,2
Scout Ventures,0.0009090909090909091,0.0,0.0,0.0025408428832563385,0.0,0.0,0.0,934,644,407,936,2
Jack Herrick,0.0009090909090909091,0.0,0.0,0.0025408428832563385,0.0,0.0,0.0,934,644,407,936,2
American Family Insurance,0.0018181818181818182,0.0,0.0,0.0014687133014822027,0.0,0.0,0.0,934,644,447,936,2
"Nashville Capital Network, Investment Arm",0.0,0.0009090909090909091,0.0,6.450860072587633e-20,0.617,0.0,0.0,710,644,931,936,226
Heritage Group,0.0,0.0009090909090909091,0.0,6.450860072587633e-20,0.617,0.0,0.0,710,644,931,936,226
Lemhi Ventures,0.0027272727272727275,0.0,0.0,2.2138061597106225e-18,0.0,0.0,0.0,934,644,694,936,2
SBT Venture Capital,0.0018181818181818182,0.0,0.0,0.0016679297738725232,0.0,0.0,0.0,934,644,435,936,2
St. Paul Venture Capital,0.0036363636363636364,0.0,0.0,0.003695704725185283,0.0,0.0,0.0,934,644,368,936,2
North Star Equity Investment Partners,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,1.7432999999999998,0.0,0.0,429,644,931,936,507
The North West Fund,0.0018181818181818182,0.0,0.0,4.746814624530955e-18,0.0,0.0,0.0,934,644,670,936,2
Acer,0.0027272727272727275,0.0,0.0,2.4499850486882035e-18,0.0,0.0,0.0,934,644,683,936,2
Industrial Bank of Taiwan,0.0,0.0009090909090909091,0.0,6.450860072587633e-20,0.6848,0.0,0.0,710,644,931,936,226
IRIS Software Group,0.0,0.0009090909090909091,0.0,6.450860072587633e-20,0.5291,0.0,0.0,710,644,931,936,226
Mosaix Ventures,0.0018181818181818182,0.0,0.0,1.3798647729667852e-18,0.0,0.0,0.0,934,644,706,936,2
Invest Nebraska,0.0009090909090909091,0.0,0.0,1.8770712639215498e-19,0.0,0.0,0.0,934,644,760,936,2
