funding_round_id,funded_object_id,investor_object_id,object_id,funded_at,funding_round_type,investor_name,company_name,category_code,category_norm,etf_primary,sector_name,confidence
45305,c:102836,f:12982,c:102836,2005-09-01,series-b,The McKay Trust,"Thru, Inc.",software,software,IGV,saas,0.7
45305,c:102836,f:12983,c:102836,2005-09-01,series-b,Clevedon Pastoral Holdings,"Thru, Inc.",software,software,IGV,saas,0.7
45305,c:102836,f:12980,c:102836,2005-09-01,series-b,L&P Investments,"Thru, Inc.",software,software,IGV,saas,0.7
45305,c:102836,f:12985,c:102836,2005-09-01,series-b,Joinwell Finance,"Thru, Inc.",software,software,IGV,saas,0.7
45305,c:102836,f:12986,c:102836,2005-09-01,series-b,Excelsior Asset Mgt LLC,"Thru, Inc.",software,software,IGV,saas,0.7
45305,c:102836,f:12987,c:102836,2005-09-01,series-b,Millwater Investments Limited,"Thru, Inc.",software,software,IGV,saas,0.7
45306,c:218684,f:10568,c:218684,2012-01-01,series-a,Cavallino Capital,Solavei,social,social,FDN,consumer_internet,0.7
45331,c:190364,f:134,c:190364,2013-08-12,series-a,Menlo Ventures,AnsibleWorks,enterprise,enterprise,IGV,saas,0.7
45331,c:190364,f:184,c:190364,2013-08-12,series-a,e.ventures,AnsibleWorks,enterprise,enterprise,IGV,saas,0.7
45395,c:196637,f:13039,c:196637,2013-08-13,series-a,McNeel Capital,Arkami,hardware,hardware,SOXX,semiconductors,0.7
45407,c:81399,f:66,c:81399,2013-08-13,series-b,Khosla Ventures,Sosh,social,social,FDN,consumer_internet,0.7
45407,c:81399,f:137,c:81399,2013-08-13,series-b,Battery Ventures,Sosh,social,social,FDN,consumer_internet,0.7
45410,c:247407,f:26,c:247407,2013-08-13,series-a,Draper Fisher Jurvetson (DFJ),eShares,enterprise,enterprise,IGV,saas,0.7
45410,c:247407,f:1700,c:247407,2013-08-13,series-a,XG Ventures,eShares,enterprise,enterprise,IGV,saas,0.7
45410,c:247407,f:4497,c:247407,2013-08-13,series-a,Kima Ventures,eShares,enterprise,enterprise,IGV,saas,0.7
45410,c:247407,f:12507,c:247407,2013-08-13,series-a,Structure,eShares,enterprise,enterprise,IGV,saas,0.7
45410,c:247407,f:12554,c:247407,2013-08-13,series-a,Subtraction Capital,eShares,enterprise,enterprise,IGV,saas,0.7
45410,c:247407,f:3570,c:247407,2013-08-13,series-a,K9 Ventures,eShares,enterprise,enterprise,IGV,saas,0.7
45410,c:247407,f:9204,c:247407,2013-08-13,series-a,Expansion Venture Capital,eShares,enterprise,enterprise,IGV,saas,0.7
45501,c:208142,f:24,c:208142,2013-08-14,series-b,August Capital,AvantCredit,finance,finance,XLF,fintech,0.7
