investor,community_id
Maryland Department of Business and Economic Development,4
TDF Ventures,10
Vital Financial,10
Morningstar,2
TD Fund,10
Bill Miller,10
Core Capital Partners,10
Access Venture Partners,4
Full Global Investments,41
Velocity Capital BV,41
Velolicity Capital BV,41
Split Rock Partners,22
Blueprint Ventures,2
Siemens Venture Capital,2
Bertelsmann Digital Media Investments,40
William Morris Agency,2
Medley Partners,2
RazorÂs Edge Ventures,38
University of Tokyo Edge Capital,38
Amgen,38
ATA Ventures,18
SkyLake Incuvest,18
Vista Ventures,28
OCA Ventures,4
River Cities Capital Funds,0
H&Q Asia Pacific,23
Enspire Capital,23
Triton Ventures,23
Bahrain Middle East Bank,23
UOB Venture,23
Westbury Partners,23
Asus,23
Cher Wang,23
Merus Capital,23
Presidio STX,23
Timothy Draper,23
WR Hambrecht,23
Wen-Chi Chen,23
Kettle Partners,0
Ticketmaster,0
William Blair New World Ventures,0
Sammons Enterprises,0
Competitor Group,0
Milestone Venture Partners,13
The Running Company,0
Origin Ventures,0
Silverton Partners,34
Centennial Ventures,10
Atlante Ventures,42
Atlante Ventures Mezzogiorno,42
Rakuten,18
Dolby Family Trust,18
Peninsula-KCG,18
GrowthWorks Capital,18
Tencent,18
STIC International,18
Saehan,18
Keytone Ventures,18
Rothenberg Ventures,18
Sean Tomlinson,18
Tim Tighe,18
NPD Group,5
Russia Partners,5
Itochu Technology Ventures,5
Spire Capital,5
KT Corp,34
FTVentures,13
Pequot Ventures,13
Vanedge Capital,13
FirstHand Technologies,13
Birchmere Ventures,2
Accelerator Fund,2
Allos Ventures,2
BlueTree Capital Group,2
Eagle Ventures,2
Smithfield Trust,2
Delta Partners,29
Enterprise Ireland,18
Pentech Ventures,29
Logispring,29
Scottish Investment Bank,29
A Plus Finance,29
CrÃ©dit Agricole Private Equity,29
Innoven Partenaires,29
Acero Capital,2
Investec Ventures Ireland Limited,2
Capital-E,18
Celtic House Venture Partners,18
Dublin Business Innovation Centre,18
Emertec Gestion,18
Enterprise Equity Limited,18
Herald Ventures,29
Lanza Tech Ventures,29
Lanza TechVentures,29
Scottish Venture Fund,29
Alliance Trust,29
Dynamics Venture Capital Fund,17
Energy Ventures,17
Eurovestech,17
